id,level_of_flood
00EB52C9-3511-4A48-B174-03AFF6099CE5,0
00EC89EA-4125-4BF8-AC1F-7A5B21A052A6,0
00EE18E8-556B-4393-BD38-68F0BC9D944D,3
00F36732-37CB-4CF6-9EE7-560BD052CE8C,0
00F8539B-D3CA-41C8-B885-01D4E821A87C,0
00F953E4-DBA6-4E74-8A19-04A1A55A4482,0
00FDA788-1CF5-4D5E-A879-FC7293A60308,2
00FFBA01-BA97-4EC9-97D4-32619FFA91CD,0
010017D1-87DB-4BC6-8930-C2E91CC9A097,0
0102FF73-192F-401F-A95C-4551AB80B00E,0
01039485-503F-43FD-912F-8373EBDE3977,0
010792E5-FB5C-42AB-BBA6-31FC5BAFAB1A,2
010BC201-0418-4595-B75A-FDD18123C0F3,0
010DAEA9-FEE1-4016-B8EE-E88E6C2E8F6B,0
010E1EEB-27F3-4530-9B1D-CD7F563474CD,0
010F4E23-E3AE-44D9-9E7B-4BA4B9A7FC64,0
010F9C03-7542-4AC5-875D-36AB3C1102ED,0
01109A68-F038-40F8-8569-74C814CFBDDA,0
0112A731-7BA2-4D79-B02D-7F2FA71D031E,0
011A3F5C-7D9D-49A2-94A8-4555FACB5C2C,0
011BC079-3C12-4245-BEF3-85285B77EF53,0
011C4EAA-226B-42CD-96AE-BC1031A1C987,0
011D4DA3-EAAB-47C7-AB49-502299CD2775,0
011F331F-0EA5-49C2-B8E6-1DBBAB2B1B88,0
011F5CD5-17AD-4CF5-A0F5-246BFEA13A9A,0
0121BFB7-2155-400D-9EA0-76926B2966D1,0
012208C9-1F75-410C-8D81-FC09942CE55E,0
012236E0-66D5-46C9-8A4F-F6FDC3C28E60,0
01224E76-7D73-48C7-8160-3F289F83B271,0
01226CCE-5C79-4BD5-AE35-8612F8EEEADE,0
0127C07E-DB32-4E68-9161-969544BDAB35,0
012A0037-CF93-496D-B243-24FA9C39E339,2
012B408B-0C43-4ED5-977E-6149E21EAD4D,0
012BEEBF-61B2-456D-A857-94DC579372B8,2
01331065-2C3B-49F4-9A03-70005BC2E33D,3
01331EC1-8B51-4CBB-A745-6C0317237ACA,0
01332FEA-5B1F-4BF4-9AA6-9890DD7C5CF9,0
0133B5CD-7B50-4A6F-8AB7-ABB44FF92EB7,0
01369286-7799-4181-841B-2B932FA7E9F9,2
013A74BB-BD99-47F2-BA94-49CA6DBEBE53,0
013F81D8-4AC7-4A7C-86EB-3607003A42F1,0
01433FC6-2B47-4022-9E30-D4502ECEA627,0
01444AAA-0C5B-4A4C-91AB-1345C3C41BD1,3
01464E09-7FA6-41E6-BE6B-E3105CE83B9B,0
0146766F-D3BD-42AF-B793-0F5559956A3C,0
014728B1-6085-4CB6-BFCA-CAE32810E809,2
01475566-55A0-4985-AE35-0FC1C75991C0,0
01479FD7-E0D4-4AB4-845C-7AFE3C1A5318,0
0148DE5E-3443-4862-9A63-96F8639C8696,2
014C643F-5684-4D2A-B28E-954B03196D25,0
014F789A-B7B4-4480-90C0-0A70C2D5239D,3
014FB3AC-CD26-4813-A979-179925BB1A00,2
01506379-F59D-4930-909C-7D0B577F1FF7,0
0158373A-19A1-4C58-BC46-588C04DCA2B5,0
015A4C06-4F6C-4C53-A824-C8BBE778D42B,0
015C78BA-BBE0-466E-B456-A379A9698B95,2
015D6C6F-E9B7-41BD-BFCF-D766D67FA155,0
015F17A3-E64B-456F-927F-A16C44C3F0FB,0
015F5CED-1494-4899-90B6-A2A8B113840D,0
016026DE-F0A9-46E9-8298-0869C22BA028,0
0160AF08-7697-4FEA-981D-F24DE03AEC03,2
01630FA5-F7C7-4502-9362-699140262F21,2
01646EFB-477B-453E-A27E-58A9CF63B42B,0
0165F3C5-E316-4D28-8197-D23066A027FF,0
016A9B9B-E25B-48A2-BBF8-9082C125C4B8,2
016CF615-E4EF-4BED-8C70-2AE9454DCC8B,0
016D71CD-4F29-4ECD-987D-9AB83D29C92A,0
016E17EC-A1DE-4554-B02E-28BF9721661D,2
016FDB6E-E4AE-402F-B1CC-1DDA76E964B3,0
0170124D-27B3-41FE-BB68-FD1F7EC23F64,0
0173722B-41B5-459C-A574-B0BC3502B80B,0
0174AEE6-F2F4-43ED-81B5-DB727EE804CB,0
01774640-EFA5-461C-ACD7-93F5B890A53C,0
0178D9FA-9CBC-43EE-B9B8-9A5E6114249F,0
017A7757-6B15-40E9-8C67-E29779506118,0
017B7F1A-A7BB-4BA5-9AE5-C284CB68CEDF,0
017EEBD2-3BFC-440B-B92D-8811F659F13A,0
018328E5-3919-437E-8414-0601147C39C8,0
0183E3CE-8DD5-4A0D-B4CD-27D98292AB60,0
0184A010-79B6-4D0A-B2BF-A7626A7FEE63,0
0184B89C-88D0-49A6-BAD1-EF0B48F9105B,0
01850688-299C-44B6-94C9-BDE6BCE741A4,0
018667F5-8FBB-4C40-9B18-85C1F6D1946D,0
018C7242-F452-4BA4-AE50-2EBAADAEAF25,0
018C8AE0-4A0D-4D64-9A8F-B77A9D68C6B3,0
018CF923-5087-4446-BD86-E15A61EF3A21,0
018EEEF9-407A-4DE1-9779-C73D3F0B5BBF,0
018FD280-80EC-41DA-9A91-BE3B94C18C4B,0
01921B30-14B0-4D53-856E-A9AC5E11DA7A,0
0192BF15-256B-4911-8A2F-A401D3CDC088,0
01948753-C02A-4F53-9BD9-07ABC9C6063B,2
0194F694-AFC0-4DCA-B162-0CCC04389048,0
01985897-F458-46F6-878A-92C3553B1827,2
019973E0-D63F-4B4E-BD5D-1C3A155B781A,0
0199ED59-C655-41AD-9DBD-8178FB16E56C,0
